LocationDesc,AgeGroup,Duration of caregiving among older adults,Expect to provide care for someone in the next two years,Intensity of caregiving among older adults,Provide care for a friend or family member in past month,Provide care for someone with cognitive impairment within the past month
New Jersey,1.0,71.15238095238095,10.189473684210526,30.031578947368423,20.630434782608695,15.292307692307693
New Jersey,2.0,69.38,14.262962962962964,29.7,21.13448275862069,12.916666666666666
New Mexico,0.0,69.12,21.633333333333336,33.739999999999995,24.53333333333333,10.325
New Mexico,1.0,71.36,16.366666666666667,36.68,19.983333333333334,12.875
New Mexico,2.0,70.93333333333334,19.133333333333333,35.06,22.5,11.16
New York,0.0,71.35517241379311,20.266666666666666,28.089285714285715,23.941463414634146,22.5
New York,1.0,73.22142857142856,11.861290322580645,32.246428571428574,17.98181818181818,21.2
New York,2.0,71.82424242424241,16.710526315789473,30.53939393939394,20.85813953488372,20.675
North Dakota,0.0,67.4,15.175,18.4,17.975,12.55
North Dakota,1.0,66.325,8.1,27.45,15.05,14.325
North Dakota,2.0,66.95,11.95,22.15,18.22,13.274999999999999
Northeast,0.0,69.45,17.178571428571427,34.84285714285714,22.87142857142857,18.05185185185185
Northeast,1.0,71.55283018867925,13.082142857142857,38.81481481481482,16.76964285714286,19.566666666666666
Northeast,2.0,70.83035714285714,15.242857142857144,36.75535714285714,20.348214285714285,18.28
Ohio,0.0,72.135,16.445454545454545,27.72,24.333333333333332,21.721052631578946
Ohio,1.0,72.06,10.227272727272727,31.725,19.508333333333333,19.815
Ohio,2.0,72.42916666666666,13.070833333333333,29.73478260869565,22.760714285714283,20.804545454545455
Oklahoma,0.0,71.75,17.95,24.475,31.3,10.366666666666667
Oklahoma,1.0,79.175,9.975000000000001,33.150000000000006,21.78,10.3
Oklahoma,2.0,74.75,13.975,28.075,26.928571428571427,10.125
Oregon,0.0,73.87857142857142,18.976666666666667,30.04074074074074,23.731034482758623,20.87037037037037
Oregon,1.0,74.81785714285715,11.796428571428573,32.214285714285715,18.650000000000002,18.630434782608695
Oregon,2.0,74.35714285714286,15.389999999999999,30.792857142857144,21.258064516129032,19.0962962962963
Pennsylvania,0.0,78.05833333333334,16.138461538461538,32.858333333333334,23.246666666666666,22.88181818181818
Pennsylvania,1.0,76.68333333333332,9.549999999999999,30.816666666666666,14.924999999999999,13.990909090909092
Pennsylvania,2.0,77.60833333333333,13.123076923076923,32.050000000000004,18.926666666666666,18.925
Puerto Rico,0.0,64.425,9.375,55.2,18.425,12.933333333333332
Puerto Rico,1.0,78.89999999999999,5.825,62.300000000000004,8.125,9.0
Puerto Rico,2.0,68.725,7.625,57.75,13.575,11.966666666666667
Rhode Island,0.0,73.15,17.4,22.875,28.8,12.166666666666666
Rhode Island,1.0,73.35,10.75,25.875,20.5,9.200000000000001
Rhode Island,2.0,73.35,14.080000000000002,23.925,23.25,11.45
South,0.0,70.96428571428571,17.992857142857144,36.466071428571425,24.8125,15.1
South,1.0,72.2490566037736,13.792857142857143,37.52777777777778,20.52857142857143,16.23272727272727
South,2.0,72.12857142857142,16.35892857142857,37.051785714285714,22.849999999999998,15.5875
South Carolina,0.0,72.0,20.48,32.339999999999996,26.6,11.219999999999999
South Carolina,1.0,72.6,15.180000000000001,38.46,18.96,9.25
South Carolina,2.0,72.2,18.0,34.42,23.2,10.3
South Dakota,0.0,70.025,17.05,25.525,16.16,9.2
South Dakota,1.0,69.3,7.6,41.775,14.524999999999999,12.446153846153846
South Dakota,2.0,66.74,12.625,33.14,15.38,10.4
Tennessee,0.0,74.44444444444444,19.96842105263158,35.794444444444444,29.919999999999998,23.16
Tennessee,1.0,68.65,14.472222222222221,35.38125,23.93,20.459999999999997
Tennessee,2.0,72.9,17.315,37.245,27.244999999999997,22.294444444444444
Texas,0.0,80.53529411764706,21.25294117647059,33.75333333333334,25.758823529411764,29.963636363636365
Texas,1.0,76.98125,11.653333333333334,39.23125,21.11875,31.475
Texas,2.0,79.38333333333334,17.444444444444443,36.55555555555556,28.425,26.486666666666668
"United States, DC & Territories",0.0,71.80363636363636,18.076363636363638,33.82363636363636,23.392857142857142,15.972727272727273
"United States, DC & Territories",1.0,70.72,13.36111111111111,38.42181818181818,19.144642857142856,17.490909090909092
"United States, DC & Territories",2.0,71.375,16.017857142857142,35.78181818181818,21.548214285714288,16.318181818181817
Utah,0.0,72.04583333333333,21.52592592592593,24.162499999999998,24.944444444444443,23.061111111111114
Utah,1.0,70.16250000000001,13.783333333333333,32.854166666666664,22.370833333333334,20.442105263157895
Utah,2.0,71.32916666666667,18.385714285714283,27.645833333333332,23.04137931034483,19.06086956521739
Virginia,0.0,72.1,19.18235294117647,29.873333333333335,23.435294117647057,28.27692307692308
Virginia,1.0,69.04666666666667,12.26,34.91333333333333,21.166666666666668,23.442857142857143
Virginia,2.0,70.88666666666667,16.823529411764707,31.48,22.141176470588235,24.433333333333334
West,0.0,71.95370370370371,19.176785714285717,30.19107142857143,21.426785714285717,16.843636363636364
West,1.0,72.76538461538462,15.030357142857143,34.72830188679245,17.771428571428572,15.720754716981133
West,2.0,72.41090909090909,17.45357142857143,32.55535714285714,19.712500000000002,16.02
West Virginia,0.0,73.875,19.025000000000002,35.983333333333334,24.553846153846152,20.3
West Virginia,1.0,75.125,11.916666666666666,42.6,18.650000000000002,20.927272727272726
West Virginia,2.0,74.35833333333333,15.333333333333334,38.99166666666667,21.873333333333335,20.233333333333334
Wisconsin,0.0,72.6,18.475,19.275,22.3,11.066666666666668
Wisconsin,1.0,75.75,13.05,27.6,16.4,11.6
Wisconsin,2.0,73.75,15.950000000000001,22.25,19.725,11.275
Wyoming,0.0,69.825,16.15,23.075,27.175,7.933333333333333
Wyoming,1.0,71.925,12.4,32.375,23.925,10.066666666666666
Wyoming,2.0,70.75,14.575,26.775,24.9,8.424999999999999
