LocationDesc,AgeGroup,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,No leisure-time physical activity within past month,Obesity
Mississippi,Overall,23.726666666666667,12.120000000000001,40.513333333333335,39.623333333333335
Missouri,50-64 years,27.333333333333332,13.238461538461538,31.986666666666668,40.04333333333333
Missouri,65 years or older,30.473333333333336,11.107692307692307,35.32,31.58
Missouri,Overall,28.78666666666667,11.626666666666667,33.68484848484848,36.184375
Montana,50-64 years,27.571428571428573,15.23076923076923,26.763333333333332,33.53
Montana,65 years or older,29.720000000000002,13.208333333333334,30.98,26.293333333333333
Montana,Overall,28.475,14.315384615384614,29.275757575757577,31.263636363636365
Nebraska,50-64 years,35.57368421052632,16.02857142857143,31.864102564102566,41.36666666666667
Nebraska,65 years or older,37.20625,14.333333333333334,33.93333333333333,34.11764705882353
Nebraska,Overall,36.025,14.255555555555556,33.40243902439025,39.12142857142857
Nevada,50-64 years,25.8875,14.976923076923075,29.11875,34.0125
Nevada,65 years or older,30.338461538461537,11.475,31.72142857142857,27.064285714285713
Nevada,Overall,28.044444444444444,13.407142857142857,30.568421052631578,31.741666666666667
New Hampshire,50-64 years,37.85,19.158333333333335,22.712500000000002,31.358333333333334
New Hampshire,65 years or older,40.49166666666667,16.825,26.691666666666666,27.537499999999998
New Hampshire,Overall,39.0,18.183333333333334,24.454166666666666,29.670833333333334
New Jersey,50-64 years,34.25,15.623076923076923,29.85,33.67
New Jersey,65 years or older,34.28333333333333,13.063636363636363,37.44137931034483,29.224137931034484
New Jersey,Overall,34.43571428571429,15.042857142857143,32.15588235294118,31.59333333333333
New Mexico,50-64 years,30.27777777777778,16.38888888888889,25.311111111111114,35.40555555555555
New Mexico,65 years or older,35.31666666666667,14.55,30.230555555555554,25.547222222222224
New Mexico,Overall,32.55,15.527777777777779,27.561111111111114,30.97222222222222
New York,50-64 years,35.76190476190476,18.105,29.404761904761905,32.1725
New York,65 years or older,41.94736842105263,16.742105263157896,33.7093023255814,27.272972972972973
New York,Overall,38.39090909090909,17.82857142857143,31.23478260869565,29.29512195121951
North Carolina,50-64 years,29.733333333333334,16.68,28.762162162162163,39.361111111111114
North Carolina,65 years or older,27.273333333333333,12.5,31.936666666666667,31.033333333333335
North Carolina,Overall,29.257894736842104,15.264705882352942,30.664285714285718,36.49047619047619
North Dakota,50-64 years,31.407142857142855,14.315384615384614,32.48,40.04333333333333
North Dakota,65 years or older,38.4,12.241666666666667,33.86,33.431999999999995
North Dakota,Overall,35.406666666666666,13.685714285714285,33.88333333333333,37.79
Northeast,50-64 years,34.112500000000004,16.922727272727272,29.03125,32.166666666666664
Northeast,65 years or older,40.01304347826087,17.64090909090909,34.85,28.926190476190477
Northeast,Overall,36.225,17.391304347826086,31.56458333333333,29.84583333333333
Ohio,50-64 years,28.48125,13.28,30.078125,40.306451612903224
Ohio,65 years or older,31.84,11.620000000000001,35.96666666666667,32.00333333333334
Ohio,Overall,29.616666666666667,12.486666666666668,33.96842105263158,37.57297297297298
Oklahoma,50-64 years,21.01111111111111,10.941666666666668,37.99761904761905,43.01
Oklahoma,65 years or older,23.75294117647059,9.441666666666666,40.849999999999994,31.497222222222224
Oklahoma,Overall,22.442857142857143,10.98235294117647,39.2047619047619,38.42857142857143
Oregon,50-64 years,34.90769230769231,20.76153846153846,23.264285714285712,35.267857142857146
Oregon,65 years or older,39.699999999999996,18.591666666666665,25.34583333333333,28.224999999999998
Oregon,Overall,36.94666666666667,19.720000000000002,25.973333333333336,32.903333333333336
Pennsylvania,50-64 years,31.58,14.076923076923077,27.712903225806453,38.365625
Pennsylvania,65 years or older,37.333333333333336,12.76,34.02333333333333,32.01
Pennsylvania,Overall,34.07647058823529,13.42,31.02,35.47714285714286
Puerto Rico,50-64 years,16.641666666666666,5.07,52.15833333333333,38.37083333333333
Puerto Rico,65 years or older,17.641666666666666,4.963636363636364,54.5625,25.087500000000002
Puerto Rico,Overall,17.083333333333332,4.733333333333333,53.31666666666666,32.141666666666666
Rhode Island,50-64 years,36.55882352941177,18.73076923076923,30.264705882352942,35.3235294117647
Rhode Island,65 years or older,39.06923076923077,15.366666666666667,33.144444444444446,28.014814814814812
Rhode Island,Overall,37.36666666666667,17.886666666666667,31.983333333333334,33.01111111111111
South,50-64 years,31.016666666666666,16.804166666666667,31.847916666666666,36.45106382978724
South,65 years or older,33.53333333333333,15.391304347826088,34.4625,29.945652173913043
South,Overall,32.0375,16.178260869565218,32.927083333333336,33.125
South Carolina,50-64 years,26.48125,13.406666666666666,32.383870967741935,39.39032258064516
South Carolina,65 years or older,30.686666666666667,11.573333333333332,32.83,31.48
South Carolina,Overall,28.394117647058824,12.58,32.36,36.69444444444444
South Dakota,50-64 years,27.52,13.161538461538461,28.433333333333334,38.77333333333333
South Dakota,65 years or older,34.06923076923077,11.383333333333333,32.586666666666666,31.873333333333335
South Dakota,Overall,30.14,12.169230769230769,30.293333333333333,35.72666666666667
Tennessee,50-64 years,28.16,15.986666666666668,35.373333333333335,41.49333333333333
Tennessee,65 years or older,31.66,15.823076923076922,36.843333333333334,31.453333333333333
Tennessee,Overall,29.62,15.360000000000001,36.093333333333334,37.163333333333334
Texas,50-64 years,31.794999999999998,17.541176470588233,32.06666666666667,40.25555555555556
Texas,65 years or older,34.12222222222223,16.25625,35.650000000000006,33.50277777777777
Texas,Overall,34.39047619047619,17.08421052631579,33.402631578947364,38.58974358974359
"United States, DC & Territories",50-64 years,32.579166666666666,16.529166666666665,29.26875,35.083333333333336
"United States, DC & Territories",65 years or older,35.93333333333333,15.591666666666667,33.02916666666667,28.364583333333332
"United States, DC & Territories",Overall,33.958333333333336,16.104166666666668,30.866666666666664,32.27708333333333
Utah,50-64 years,34.92666666666666,16.092857142857145,22.386666666666667,33.593333333333334
Utah,65 years or older,36.086666666666666,13.183333333333332,26.586666666666666,29.017857142857142
Utah,Overall,35.580000000000005,14.493333333333334,24.253125,32.015151515151516
Vermont,50-64 years,37.525,21.933333333333334,21.391666666666666,30.1375
Vermont,65 years or older,42.86666666666667,19.5,27.504166666666666,26.162499999999998
Vermont,Overall,39.925000000000004,20.866666666666667,26.26153846153846,28.784000000000002
Virgin Islands,50-64 years,34.117361111111116,15.41856884057971,21.25,36.199999999999996
Virgin Islands,65 years or older,34.117361111111116,15.41856884057971,23.575,19.425
Virgin Islands,Overall,34.117361111111116,15.41856884057971,23.360000000000003,29.416666666666668
Virginia,50-64 years,33.044444444444444,16.92,28.183333333333334,38.03333333333333
Virginia,65 years or older,33.13333333333333,14.08,32.45161290322581,31.293548387096774
Virginia,Overall,34.147368421052626,16.01875,30.349999999999998,34.872972972972974
Washington,50-64 years,36.09130434782609,18.226315789473684,22.874418604651165,34.96341463414634
Washington,65 years or older,40.27222222222222,17.95,23.955882352941178,30.16875
Washington,Overall,37.24166666666667,17.795238095238094,23.74791666666667,32.33404255319149
West,50-64 years,35.03333333333333,18.308333333333334,24.1375,33.11666666666667
West,65 years or older,38.05416666666667,16.579166666666666,27.05,25.891666666666666
West,Overall,36.31666666666667,17.591666666666665,25.43541666666667,30.125
West Virginia,50-64 years,19.575,11.066666666666668,36.38076923076923,45.99230769230769
West Virginia,65 years or older,23.433333333333334,9.775,37.19583333333333,33.37083333333333
West Virginia,Overall,21.271428571428572,10.450000000000001,36.89,40.710344827586205
Wisconsin,50-64 years,34.6,14.591666666666667,25.63214285714286,39.50645161290323
Wisconsin,65 years or older,39.324999999999996,12.158333333333333,30.21481481481481,33.260714285714286
Wisconsin,Overall,35.233333333333334,13.466666666666667,28.93125,37.87428571428571
Wyoming,50-64 years,28.53846153846154,15.875,27.52758620689655,34.5
Wyoming,65 years or older,32.68333333333333,13.683333333333335,31.568,27.851999999999997
Wyoming,Overall,31.57333333333333,14.816666666666668,29.623333333333335,31.337931034482757
